OBJECTID,Shape,Join_Count,TARGET_FID,PIN,PIN2,PTRACT2,GPIN,Parcel_Tex,Parts,SUB_NAME,DEED_AC,ACTIVE,EXPIRY,Last,ACC_NO,class,TCSD,SHARE_TC,EDITDATE,EDITBY,EDITTYPE,TRANSACTIO,TRANSACT_1,TRATE_ID,YearFor,Fire_Dist,Calc_Acrea,Parcel_Not,TAZ_Model_,Possible_Z,Common_Nam,Common_N_1,GPS_Y_N,GPS_Year,Calc_Acr_1,Calc_Acr_2,Data_year,ORIG_FID,AccountNumber,TaxMap,GPIN,LUC_2022,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,UserAccoun,LandUseCod2018
28,Point,1,27, 10  12     4,10-12-0-4-0,10-3-0-2-0,6812-11-6918,6918,1,Rockin Knoll Farm,9.68,12/23/2003,<Null>,6812-11-7962,17595,2,No,No,4/30/2019,JDW,0, ,0,116116783821931_TRATE, ,6,9.693895, ,644,0, , , , ,-0.013895,0,2022,1779,17595,10-12-0-4-0,6812-11-6918,SNGL FAM SUB,9.68,AC,64000,0,64000,0,0,64000,62200,0,62200,0,0,62200,A1,AG/GEN,6812-11-7962,20 - SNGL FAM SUB
29,Point,1,28, 11   1    50,11-1-0-50-0,11-1-0-50-0,6822-52-8020,8020,1, ,148.224,5/27/2021,<Null>,6822-51-8070,4844,6,No,No,6/8/2021,JDW,0, ,0,116258703821002_TRATE, ,6,146.830389, ,645,0, , , , ,1.393611,0,2022,1799,4844,11-1-0-50-0,6822-52-8020,AG > 100 AC,148.224,AC,442500,374200,68300,0,0,442500,488100,417500,70600,0,0,488100,A1,AG/GEN,6822-51-8070,60 - AG > 100 AC
30,Point,1,29,13   2     1A,13-2-0-1-A,13-2-0-1-0,6841-97-4540, ,1, ,10.107,10/29/2017,<Null>, ,19925,2,No,No,11/30/2017,JDW,0, ,0,116493533817639_TRATE, ,6,9.871584, ,646,0, , , , ,0.235416,0,2022,1832,19925,13-2-0-1-A,6841-97-4540,SNGL FAM SUB,10.107,<Null>,122500,0,122500,0,0,122500,120200,0,120200,0,0,120200,A1,AG/GEN,6841-97-4540,20 - SNGL FAM SUB
31,Point,1,30, 12   7     5,12-7-0-5-0,12-7-0-5-0,6821-86-7375, ,1, ,19.67,12/31/2005,<Null>, ,9924,2,No,No,3/28/2022,DG,0, ,0,116287743816352_TRATE, ,6,19.827975, ,645,23153, , , , ,-0.157975,0,2022,1836,9924,12-7-0-5-0,6821-86-7375,SNGL FAM SUB,19.67,AC,130700,0,130700,0,1000,131700,127200,0,127200,0,1000,128200,A1,AG/GEN,6821-86-7375,20 - SNGL FAM SUB
32,Point,1,31,13   11    2,13-11-0-2-0,13-1-0-21-0,6841-66-5351,5351,1, ,3,12/28/2018,<Null>,6841-66-5376,20236,2,No,No,1/4/2019,JDW,0, ,0,116465793816362_TRATE, ,6,2.999648, ,646,23065, , , , ,0.000352,0,2022,1864,20236,13-11-0-2-0,6841-66-5351,SNGL FAM SUB,3,AC,62000,0,62000,267000,0,329000,66000,0,66000,255600,0,321600,A1,AG/GEN,6841-66-5376,20 - SNGL FAM SUB
33,Point,1,32,21  15  2   24,21-15-2-24-0,21-1-0-20-0,6850-42-7094,7094,1,Preston Park Sec 2,2.06,5/13/2020,<Null>,6850-31-4452,20692,6,No,No,5/21/2020,JDW,0, ,0,116534523801428_TRATE, ,5,2.059512,24,647,23153, , , , ,0.000489,0,2022,1933,20692,21-15-2-24-0,6850-42-7094,SNGL FAM SUB,2.06,AC,90000,0,90000,0,0,90000,90000,0,90000,0,0,90000,R1,RES/LTD,6850-31-4452,60 - AG > 100 AC
34,Point,1,33,  9  12     2,9-12-0-2-B,9-1-0-57-0,5891-83-9028, ,1,Lantana South,14.31,2/26/2018,<Null>, ,19979,5,No,No,4/23/2018,JDW,0, ,0,115986993813522_TRATE, ,4,14.332383, ,644,23038, , , , ,-0.022383,0,2022,2107,19979,9-12-0-2-B,5891-83-9028,SNGL FAM SUB,14.31,AC,73000,0,73000,389700,17900,480600,71300,0,71300,360200,17500,449000,A1,AG/GEN,5891-83-6592,50 - AG 20-100 AC
35,Point,1,34, 12   1    76,12-1-0-76-0,12-1-0-76-0,6831-72-5469,5469,1, ,33.175,12/6/2021,<Null>,6831-72-5439,335,0,No,NO,12/8/2021,DG,0, ,0,116375203812485_TRATE, ,6,33.462376, ,646,23153, , , , ,-0.287376,0,2022,2161,335,12-1-0-76-0,6831-72-5469,AG 20-100 AC,33.175,AC,210400,194500,15900,0,0,210400,244400,184800,59600,89600,1000,335000,A1,AG/GEN,6831-72-5439,50 - AG 20-100 AC
36,Point,1,35, 21   1    15D,21-1-0-15-D,21-1-0-15-0,6850-53-4290, ,1, ,1.36,12/31/2005,<Null>, ,5871,2,No,No,6/30/2009,QFOOTE,0, ,0,116555083803197_TRATE, ,5,1.495633, ,647,0, , , , ,-0.135633,0,2022,2255,5871,21-1-0-15-D,6850-53-4290,SNGL FAM SUB,1.36,AC,45000,0,45000,0,8300,53300,41100,0,41100,0,7200,48300,A2,AG/LTD,6850-53-4290,20 - SNGL FAM SUB
37,Point,1,36, 15   4     4T,15-4-0-4-T,15-4-0-4-0,5880-30-6084-9999, ,1, ,1.27,12/31/2005,<Null>,5880-30-6121-99,6261,2,No,No,1/17/2019,JDW,0, ,0,115836283800119_TRATE, ,4,1.015859, ,644,0, , , , ,0.254141,0,2022,2531,6261,15-4-0-4-T,5880-30-6084-9999,COMM & IND,1.27,AC,101000,0,101000,0,0,101000,100900,0,100900,0,0,100900,A1,AG/GEN,5880-30-6084-9999,40 - COMM & IND
38,Point,1,37, 18   7     A,18-7-0-A-0,18-7-0-A-0,6810-98-6980,6980,1, ,2.14,2/2/1982,<Null>,6810-98-7887,3175,2,No,No,3/26/2021,JDW,0, ,0,116197863808871_TRATE, ,6,2.130279, ,645,23063, , , , ,0.009721,0,2022,2597,3175,18-7-0-A-0,6810-98-6980,SNGL FAM SUB,2.14,AC,46800,0,46800,82700,2100,131600,44800,0,44800,71200,2100,118100,A1,AG/GEN,6810-98-7887,20 - SNGL FAM SUB
39,Point,1,38, 20   5     C,20-5-0-C-0,20-5-0-C-0,6840-28-6521, ,1, ,70.99,1/10/2008,<Null>, ,7982,5,No,No,6/29/2009,QFOOTE,0, ,0,116426113808244_TRATE, ,6,70.12424, ,646,23153, , , , ,0.86576,0,2022,2598,7982,20-5-0-C-0,6840-28-6521,AG 20-100 AC,70.99,AC,424500,288100,136400,180500,50600,655600,412700,285200,127500,155600,43000,611300,A1,AG/GEN,6840-28-6521,50 - AG 20-100 AC
40,Point,1,39,20   29     1,20-29-0-1-0,20-5-0-D-0,6840-16-9679,9679,1,Redeye Creek,6.07,6/28/2019,<Null>, ,3375,2,No,No,7/30/2019,JDW,0, ,0,116423493806664_TRATE, ,6,6.119248, ,646,23153, , , , ,-0.049248,0,2022,2658,3375,20-29-0-1-0,6840-16-9679,SNGL FAM SUB,6.07,AC,84000,0,84000,247500,0,331500,76600,0,76600,200000,0,276600,A1,AG/GEN,6840-26-3675,20 - SNGL FAM SUB
41,Point,1,40, 16   1    66,16-1-0-66-0,16-1-0-66-0,5890-93-1139,1139,1, ,71.614,1/13/2020,<Null>,5890-94-9616,3697,2,No,No,2/24/2020,JDW,0, ,0,115999143804663_TRATE, ,4,70.939048, ,644,0, , , , ,0.674952,0,2022,2714,3697,16-1-0-66-0,5890-93-1139,AG 20-100 AC,71.614,AC,144500,111200,33300,0,0,144500,143200,112700,30500,0,0,143200,A1,AG/GEN,5890-83-4368,60 - AG > 100 AC
42,Point,1,41,19   16   B,19-16-0-B-0,19-1-0-64-0,6830-42-9307,9307,1, ,51.666,8/26/2019,<Null>, ,20344,5,No,No,9/10/2019,JDW,0, ,0,116349483802915_TRATE, ,6,51.574693, ,646,0, , , , ,0.091307,0,2022,2780,20344,19-16-0-B-0,6830-42-9307,AG 20-100 AC,51.666,AC,303000,278700,24300,0,0,303000,294500,272500,22000,0,0,294500,A1,AG/GEN,6830-42-9941,50 - AG 20-100 AC
43,Point,1,42, 17   1    92,17-1-0-92-0,17-1-0-92-0,6810-21-3348,3348,1, ,10.01,3/15/2019,<Null>,6810-21-4209,737,2,No,No,2/7/2022,DG,1, ,0,116121133801070_TRATE, ,4,9.637596, ,645,0, , , , ,0.372404,0,2022,2883,737,17-1-0-92-0,6810-21-4209,SNGL FAM SUB,7.13,AC,74800,0,74800,0,0,74800,71700,0,71700,0,0,71700,A1,AG/GEN,6810-21-6164,20 - SNGL FAM SUB
44,Point,1,43, 18   1    28C,18-1-0-28-C,18-1-0-28-C,6729-27-4796, ,1, ,1/4/1900,12/31/2005,<Null>, ,12571,2,No,No,<Null>, ,0, ,0,116224953797767_TRATE, ,4,3.992699, ,645,23063, , , , ,0.007301,0,2022,2896,12571,18-1-0-28-C,6729-27-4796,SNGL FAM SUB,4,AC,57600,0,57600,12300,0,69900,54500,0,54500,12300,0,66800,A1,AG/GEN,6729-27-3974,20 - SNGL FAM SUB
45,Point,1,44, 30  18     5,30-18-0-5-0,30-18-0-5-0,6759-40-1802, ,1,Shepherds Ridge,4.8,7/24/1989,<Null>, ,11051,2,No,No,4/12/2019,JDW,0, ,0,116541063790830_TRATE, ,5,4.791774, ,647,23063, , , , ,0.008226,0,2022,2991,11051,30-18-0-5-0,6759-40-1802,SNGL FAM SUB,4.8,AC,86300,0,86300,242800,6000,335100,81400,0,81400,197500,6000,284900,A2,AG/LTD,6759-40-1802,20 - SNGL FAM SUB
46,Point,1,45, 29   1    83,29-1-0-83-0,29-1-0-83-0,6749-75-8036, ,1, ,5.04,12/31/2005,<Null>, ,7376,2,No,No,<Null>, ,0, ,0,116478873795181_TRATE, ,5,4.858821, ,647,23063, , , , ,0.181179,0,2022,3059,7376,29-1-0-83-0,6749-75-8036,SNGL FAM SUB,5.04,AC,91900,0,91900,95400,9400,196700,89900,0,89900,79700,6400,176000,A1,AG/GEN,6749-75-8188,20 - SNGL FAM SUB
47,Point,1,46,31  12     4A,31-12-0-4-A,31-12-0-4-0,6769-66-0420,420,1, ,9.224,5/21/2019,<Null>,6769-66-1436,2878,2,No,No,6/6/2019,JDW,0, ,0,116661313796463_TRATE, ,5,9.246321, ,648,23063, , , , ,-0.022321,0,2022,3161,2878,31-12-0-4-A,6769-66-0420,SNGL FAM SUB,9.224,AC,151500,0,151500,450300,37800,639600,140600,0,140600,391900,0,532500,A2,AG/LTD,6769-66-1436,20 - SNGL FAM SUB
48,Point,1,47, 18   1    28A,18-1-0-28-A,18-1-0-28-A,6729-27-3974, ,1, ,3.07,12/31/2005,<Null>, ,1757,2,No,No,<Null>, ,0, ,0,116223713797946_TRATE, ,4,3.072606, ,645,23063, , , , ,-0.002606,0,2022,3281,1757,18-1-0-28-A,6729-27-3974,SNGL FAM SUB,3.07,AC,52400,0,52400,103600,4900,160900,50400,0,50400,87400,4900,142700,A1,AG/GEN,6729-27-3974,20 - SNGL FAM SUB
49,Point,1,48, 28   1    77C,28-1-0-77-C,28-1-0-77-0,6739-26-7742, ,1, ,3.12,12/31/2005,<Null>, ,11356,2,No,No,7/13/2010,JDW,0, ,0,116327403796758_TRATE, ,4,3.345647, ,646,0, , , , ,-0.225647,0,2022,3356,11356,28-1-0-77-C,6739-26-7742,SNGL FAM SUB,3.12,AC,60900,0,60900,0,7000,67900,60400,0,60400,0,6300,66700,A1,AG/GEN,6739-26-7742,20 - SNGL FAM SUB
50,Point,1,49, 39   8     D,39-8-0-D-0,39-1-0-90-0,6727-34-9583,9583,1, ,161.986,4/30/2021,<Null>, ,406,6,No,No,7/8/2021,JDW,0, ,0,116238003774680_TRATE, ,4,164.110802, ,662,23063, , , , ,-2.124802,0,2022,3526,406,39-8-0-D-0,6727-34-9583,AG > 100 AC,161.986,AC,618400,502800,115600,293300,25600,937300,534800,435600,99200,258800,25600,819200,A1,AG/GEN,6727-34-8607,60 - AG > 100 AC
51,Point,1,50, 30   1   111A,30-1-0-111-A,30-1-0-111-0,6759-84-4269, ,1, ,71.13,9/20/2018,<Null>, ,2998,5,No,No,10/5/2018,JDW,0, ,0,116584663794293_TRATE, ,5,70.706606, ,648,0, , , , ,0.423394,0,2022,3529,2998,30-1-0-111-A,6759-84-4269,AG 20-100 AC,71.13,AC,576000,540100,35900,0,0,576000,537200,506700,30500,0,0,537200,A2,AG/LTD,6759-84-4269,50 - AG 20-100 AC
52,Point,1,51, 31  24     6,31-24-0-6-0,31-1-0-76-0,6779-41-7916, ,1,James River Estates,2.25,12/31/2005,<Null>, ,10588,2,No,No,<Null>, ,0, ,0,116747193791961_TRATE, ,5,1.509446, ,648,0, , , , ,0.740554,0,2022,3593,10588,31-24-0-6-0,6779-41-7916,SNGL FAM SUB,2.25,AC,78900,0,78900,0,0,78900,70400,0,70400,0,0,70400,A2,AG/LTD,6779-41-7916,20 - SNGL FAM SUB
53,Point,1,52, 26   1    72,26-1-0-72-0,26-1-0-72-0,6719-44-8908, ,1, ,16.4,12/31/2005,<Null>, ,8519,2,No,No,<Null>,JDW,0, ,0,116148083794988_TRATE, ,4,18.80857, ,645,0, , , , ,-2.40857,0,2022,3689,8519,26-1-0-72-0,6719-44-8908,SNGL FAM SUB,16.4,AC,84600,37500,47100,0,13700,98300,82700,38200,44500,0,12400,95100,A1,AG/GEN,6719-44-8908,20 - SNGL FAM SUB
